1.000e+00,9.608e-01,8.521e-01,6.977e-01,5.273e-01,3.680e-01,2.373e-01,1.420e-01,8.046e-02,4.707e-02,3.663e-02,4.707e-02,8.046e-02,1.420e-01,2.373e-01,3.680e-01,5.273e-01,6.977e-01,8.521e-01,9.608e-01
9.608e-01,1.000e+00,9.608e-01,8.521e-01,6.977e-01,5.273e-01,3.680e-01,2.373e-01,1.420e-01,8.046e-02,4.707e-02,3.663e-02,4.707e-02,8.046e-02,1.420e-01,2.373e-01,3.680e-01,5.273e-01,6.977e-01,8.521e-01
8.521e-01,9.608e-01,1.000e+00,9.608e-01,8.521e-01,6.977e-01,5.273e-01,3.680e-01,2.373e-01,1.420e-01,8.046e-02,4.707e-02,3.663e-02,4.707e-02,8.046e-02,1.420e-01,2.373e-01,3.680e-01,5.273e-01,6.977e-01
6.977e-01,8.521e-01,9.608e-01,1.000e+00,9.608e-01,8.521e-01,6.977e-01,5.273e-01,3.680e-01,2.373e-01,1.420e-01,8.046e-02,4.707e-02,3.663e-02,4.707e-02,8.046e-02,1.420e-01,2.373e-01,3.680e-01,5.273e-01
5.273e-01,6.977e-01,8.521e-01,9.608e-01,1.000e+00,9.608e-01,8.521e-01,6.977e-01,5.273e-01,3.680e-01,2.373e-01,1.420e-01,8.046e-02,4.707e-02,3.663e-02,4.707e-02,8.046e-02,1.420e-01,2.373e-01,3.680e-01
3.680e-01,5.273e-01,6.977e-01,8.521e-01,9.608e-01,1.000e+00,9.608e-01,8.521e-01,6.977e-01,5.273e-01,3.680e-01,2.373e-01,1.420e-01,8.046e-02,4.707e-02,3.663e-02,4.707e-02,8.046e-02,1.420e-01,2.373e-01
2.373e-01,3.680e-01,5.273e-01,6.977e-01,8.521e-01,9.608e-01,1.000e+00,9.608e-01,8.521e-01,6.977e-01,5.273e-01,3.680e-01,2.373e-01,1.420e-01,8.046e-02,4.707e-02,3.663e-02,4.707e-02,8.046e-02,1.420e-01
1.420e-01,2.373e-01,3.680e-01,5.273e-01,6.977e-01,8.521e-01,9.608e-01,1.000e+00,9.608e-01,8.521e-01,6.977e-01,5.273e-01,3.680e-01,2.373e-01,1.420e-01,8.046e-02,4.707e-02,3.663e-02,4.707e-02,8.046e-02
8.046e-02,1.420e-01,2.373e-01,3.680e-01,5.273e-01,6.977e-01,8.521e-01,9.608e-01,1.000e+00,9.608e-01,8.521e-01,6.977e-01,5.273e-01,3.680e-01,2.373e-01,1.420e-01,8.046e-02,4.707e-02,3.663e-02,4.707e-02
4.707e-02,8.046e-02,1.420e-01,2.373e-01,3.680e-01,5.273e-01,6.977e-01,8.521e-01,9.608e-01,1.000e+00,9.608e-01,8.521e-01,6.977e-01,5.273e-01,3.680e-01,2.373e-01,1.420e-01,8.046e-02,4.707e-02,3.663e-02
3.663e-02,4.707e-02,8.046e-02,1.420e-01,2.373e-01,3.680e-01,5.273e-01,6.977e-01,8.521e-01,9.608e-01,1.000e+00,9.608e-01,8.521e-01,6.977e-01,5.273e-01,3.680e-01,2.373e-01,1.420e-01,8.046e-02,4.707e-02
4.707e-02,3.663e-02,4.707e-02,8.046e-02,1.420e-01,2.373e-01,3.680e-01,5.273e-01,6.977e-01,8.521e-01,9.608e-01,1.000e+00,9.608e-01,8.521e-01,6.977e-01,5.273e-01,3.680e-01,2.373e-01,1.420e-01,8.046e-02
8.046e-02,4.707e-02,3.663e-02,4.707e-02,8.046e-02,1.420e-01,2.373e-01,3.680e-01,5.273e-01,6.977e-01,8.521e-01,9.608e-01,1.000e+00,9.608e-01,8.521e-01,6.977e-01,5.273e-01,3.680e-01,2.373e-01,1.420e-01
1.420e-01,8.046e-02,4.707e-02,3.663e-02,4.707e-02,8.046e-02,1.420e-01,2.373e-01,3.680e-01,5.273e-01,6.977e-01,8.521e-01,9.608e-01,1.000e+00,9.608e-01,8.521e-01,6.977e-01,5.273e-01,3.680e-01,2.373e-01
2.373e-01,1.420e-01,8.046e-02,4.707e-02,3.663e-02,4.707e-02,8.046e-02,1.420e-01,2.373e-01,3.680e-01,5.273e-01,6.977e-01,8.521e-01,9.608e-01,1.000e+00,9.608e-01,8.521e-01,6.977e-01,5.273e-01,3.680e-01
3.680e-01,2.373e-01,1.420e-01,8.046e-02,4.707e-02,3.663e-02,4.707e-02,8.046e-02,1.420e-01,2.373e-01,3.680e-01,5.273e-01,6.977e-01,8.521e-01,9.608e-01,1.000e+00,9.608e-01,8.521e-01,6.977e-01,5.273e-01
5.273e-01,3.680e-01,2.373e-01,1.420e-01,8.046e-02,4.707e-02,3.663e-02,4.707e-02,8.046e-02,1.420e-01,2.373e-01,3.680e-01,5.273e-01,6.977e-01,8.521e-01,9.608e-01,1.000e+00,9.608e-01,8.521e-01,6.977e-01
6.977e-01,5.273e-01,3.680e-01,2.373e-01,1.420e-01,8.046e-02,4.707e-02,3.663e-02,4.707e-02,8.046e-02,1.420e-01,2.373e-01,3.680e-01,5.273e-01,6.977e-01,8.521e-01,9.608e-01,1.000e+00,9.608e-01,8.521e-01
8.521e-01,6.977e-01,5.273e-01,3.680e-01,2.373e-01,1.420e-01,8.046e-02,4.707e-02,3.663e-02,4.707e-02,8.046e-02,1.420e-01,2.373e-01,3.680e-01,5.273e-01,6.977e-01,8.521e-01,9.608e-01,1.000e+00,9.608e-01
9.608e-01,8.521e-01,6.977e-01,5.273e-01,3.680e-01,2.373e-01,1.420e-01,8.046e-02,4.707e-02,3.663e-02,4.707e-02,8.046e-02,1.420e-01,2.373e-01,3.680e-01,5.273e-01,6.977e-01,8.521e-01,9.608e-01,1.000e+00
